species,Lecticity
Agapostemon_sericeus,Polylectic
Amegilla_quadrifasciata,Polylectic
Andrena_barbilabris,Polylectic
Andrena_bicolor,Polylectic
Andrena_carantonica,Polylectic
Andrena_carlini,Polylectic
Andrena_chrysosceles,Polylectic
Andrena_cineraria,Polylectic
Andrena_dorsata,Polylectic
Andrena_dunningi,Polylectic
Andrena_flavipes,Polylectic
Andrena_fucata,Polylectic
Andrena_fulva,Polylectic
Andrena_gravida,Polylectic
Andrena_haemorrhoa,Polylectic
Andrena_hispania,Polylectic
Andrena_labiata,Polylectic
Andrena_miserabilis,Polylectic
Andrena_morio,Polylectic
Andrena_nigriceps,Polylectic
Andrena_nigroaenea,Polylectic
Andrena_nitida,Polylectic
Andrena_nubecula,Oligolectic
Andrena_ovatula,Polylectic
Andrena_semilaevis,Polylectic
Andrena_simplex,Oligolectic
Andrena_subopaca,Polylectic
Andrena_tibialis,Polylectic
Andrena_varians,Polylectic
Anthidium_florentinum,Polylectic
Anthidium_manicatum,Polylectic
Anthidium_oblongatum,Polylectic
Anthophora_plumipes,Polylectic
Anthophora_quadrimaculata,Polylectic
Apis_mellifera,Polylectic
Augochlora_pura,Polylectic
Bombus_fervidus,Polylectic
Bombus_hortorum,Polylectic
Bombus_hypnorum,Polylectic
Bombus_impatiens,Polylectic
Bombus_jonellus,Polylectic
Bombus_muscorum,Polylectic
Bombus_pascuorum,Polylectic
Bombus_pratorum,Polylectic
Bombus_terrestris,Polylectic
Bombus_vagans,Polylectic
Ceratina_calcarata,Polylectic
Colletes_compactus,Oligolectic
Colletes_simulans,Oligolectic
Dasypoda_hirtipes,Oligolectic
Eucera_elongatula,Oligolectic
Flavipanurgus_venustus,Oligolectic
Halictus_confusus,Polylectic
Halictus_ligatus,Polylectic
Halictus_rubicundus,Polylectic
Heriades_rubicola,Oligolectic
Hoplitis_papaveris,Polylectic
Hylaeus_mesillae,Polylectic
Hylaeus_modestus,Polylectic
Lasioglossum_calceatum,Polylectic
Lasioglossum_coriaceum,Polylectic
Lasioglossum_cressonii,Polylectic
Lasioglossum_fulvicorne,Polylectic
Lasioglossum_imitatum,Polylectic
Lasioglossum_immunitum,Polylectic
Lasioglossum_leucozonium,Polylectic
Lasioglossum_punctatissimum,Polylectic
Lasioglossum_sexnotatum,Polylectic
Lasioglossum_sexstrigatum,Polylectic
Lasioglossum_zonulum,Polylectic
Megachile_centuncularis,Polylectic
Megachile_latimanus,Polylectic
Megachile_ligniseca,Polylectic
Megachile_mendica,Polylectic
Megachile_mucida,Polylectic
Megachile_pugnata,Oligolectic
Megachile_relativa,Polylectic
Megachile_rotundata,Polylectic
Melissodes_bimaculata,Polylectic
Melissodes_desponsus,Oligolectic
Nomada_cressonii,Polylectic
Nomada_luteoloides,Polylectic
Nomada_merceti,Polylectic
Nomada_succincta,Polylectic
Osmia_bicornis,Polylectic
Osmia_caerulescens,Polylectic
Osmia_cornuta,Polylectic
Osmia_latreillei,Oligolectic
Osmia_leaiana,Oligolectic
Osmia_submicans,Polylectic
Panurgus_banksianus,Oligolectic
Panurgus_calcaratus,Oligolectic
Rhodanthidium_sticticum,Polylectic
Stelis_breviuscula,Polylectic
Systropha_planidens,Oligolectic
Xylocopa_cantabrita,Polylectic
Xylocopa_valga,Polylectic
Xylocopa_violacea,Polylectic
Xylocopa_virginica,Polylectic
