"","Species","Brain.weight","IT","residuals","Habitat","Preference"
"1","Andrena_angustior",0.406333333333333,1.79733333333333,-0.294045495522293,"Seminatural",0.9252
"2","Andrena_barbilabris",0.983,2.28,0.142071194081394,"Seminatural",0.574
"3","Andrena_bicolor",0.7025,2.205,-0.130993473787811,"Seminatural",1
"4","Andrena_carantonica",1.8105,2.775,0.383347353774812,"Seminatural",1
"5","Andrena_chrysosceles",0.831,1.8525,0.364559004456993,"Seminatural",1
"6","Andrena_cineraria",1.6334,2.724,0.315290221971901,"Seminatural",0.1775
"7","Andrena_dorsata",0.7176,2.262,-0.157720599563025,"Seminatural",1
"8","Andrena_flavipes",1.17966666666667,2.57211111111111,0.0977512911768199,"Seminatural",1
"9","Andrena_fucata",0.701,2.66,-0.485911365135228,"Seminatural",0
"10","Andrena_fulva",1.59133333333333,2.76,0.264509013876433,"Seminatural",0.0769
"11","Andrena_gravida",1.59425,2.635,0.353496942785333,"Seminatural",1
"12","Andrena_haemorrhoa",1.1656,2.436,0.18799783531792,"Seminatural",1
"13","Andrena_labiata",0.58,2.23333333333333,-0.346620566084276,"Seminatural",0.9999
"14","Andrena_nigroaenea",1.71266666666667,3.57333333333333,-0.147686571136726,"Seminatural",0.8087
"15","Andrena_nitida",1.9736,2.808,0.44737273506524,"Seminatural",1
"16","Andrena_ovatula",0.746333333333333,2.69333333333333,-0.446665736364914,"Seminatural",0.9862
"17","Andrena_pilipes",1.45714285714286,2.90642857142857,0.0792027894775054,"Seminatural",0.0344
"18","Andrena_semilaevis",0.277,1.575,-0.428883204706523,"Seminatural",0.5138
"19","Andrena_subopaca",0.343333333333333,1.84666666666667,-0.513438132746577,"Seminatural",0.9995
"20","Andrena_tibialis",1.6475,3.27,-0.0196615812858776,"Seminatural",0.9999
"21","Andrena_wilkella",1.01025,2.286,0.164472977124401,"Seminatural",1
"22","Anthidium_manicatum",2.3458,3.6718,0.115770251284145,"Seminatural",1
"23","Anthidium_oblongatum",1.75257142857143,3.07185714285714,0.15970960329648,"Seminatural",0.1682
"24","Anthophora_bimaculata",1.48,2.82,0.151536307782016,"Seminatural",3e-04
"25","Anthophora_plumipes",3.752,3.993,0.427731980440801,"Seminatural",0
"26","Anthophora_quadrimaculata",2.2225,3.86,-0.0322209988638852,"Seminatural",0.9471
"27","Bombus_hypnorum",2.29,3.37,0.252985209656174,"Seminatural",0
"28","Bombus_jonellus",2.3005,4.0175,-0.0729335994142793,"Seminatural",0
"29","Bombus_lucorum",2.4,4.861,-0.388986443173959,"Seminatural",0
"30","Bombus_muscorum",2.18222222222222,3.81166666666667,-0.026814369867663,"Seminatural",0.7456
"31","Bombus_pascuorum",2.40409090909091,3.69790909090909,0.126991177121428,"Seminatural",1
"32","Bombus_pratorum",2.02641666666667,3.58775,0.012959196258651,"Seminatural",0.1368
"33","Bombus_terrestris",3.05281132075472,4.22879245283019,0.113614345120543,"Seminatural",0
"34","Dasypoda_hirtipes",0.47,2.957,-1.08473649191564,"Seminatural",1
"35","Halictus_confusus",0.4184,1.7855,-0.252359556952746,"Seminatural",0
"36","Halictus_quadricinctus",1.55,2.895,0.148389196177248,"Seminatural",0.7954
"37","Halictus_rubicundus",0.83875,2.313875,-0.0443592557462495,"Seminatural",1
"38","Lasioglossum_calceatum",0.656333333333333,1.89166666666667,0.0892536770143502,"Seminatural",1
"39","Lasioglossum_fulvicorne",0.3,1.26,0.0705046200417651,"Seminatural",0.9877
"40","Lasioglossum_leucozonium",0.48,2.21666666666667,-0.521776310270077,"Seminatural",1
"41","Lasioglossum_malachurum",0.424777777777778,1.43466666666667,0.174159443302799,"Seminatural",1
"42","Lasioglossum_punctatissimum",0.29775,1.5625,-0.341662309354123,"Seminatural",0.9365
"43","Lasioglossum_sexnotatum",0.817666666666667,2.56,-0.25990563046771,"Seminatural",1
"44","Lasioglossum_sexstrigatum",0.231,1.26,-0.190860144092642,"Seminatural",0.7642
"45","Lasioglossum_zonulum",0.657,2.285,-0.264973309688452,"Seminatural",0.9998
"46","Megachile_centuncularis",1.3815,3.329875,-0.229872078164104,"Seminatural",1
"47","Megachile_rotundata",1.391,3.1667,-0.128533499638932,"Seminatural",0
"48","Megachile_willughbiella",1.966,3.694,-0.0721906823285321,"Seminatural",0.9999
"49","Nomada_succincta",1.34,2.057,0.645441524477969,"Seminatural",0.0629
"50","Osmia_caerulescens",0.704421052631579,2.13989473684211,-0.0719022023481536,"Seminatural",1e-04
"51","Osmia_cornuta",1.79939325842697,3.41074157303371,-0.0107151103724384,"Seminatural",1
"52","Osmia_leaiana",1.1025,2.7655,-0.106226553940582,"Seminatural",0.0122
"53","Panurgus_banksianus",1.63,2.379,0.567866845029763,"Seminatural",0.4638
"54","Panurgus_calcaratus",0.53,1.646375,0.136631073043337,"Seminatural",0.9997
"55","Stelis_breviuscula",0.443333333333333,1.96566666666667,-0.37525419439881,"Seminatural",1
"56","Xylocopa_violacea",6.77766666666667,5.91111111111111,0.281370158761188,"Seminatural",0
"57","Agapostemon_sericeus",0.8495,2.25425,0.0174690305643134,"Seminatural",1
"58","Agapostemon_virescens",1.281,1.7145,0.942904127578453,"Seminatural",1
"59","Andrena_carlini",1.558,3.10233333333333,0.0234637091740494,"Seminatural",0.9367
"60","Andrena_crataegi",0.798333333333333,1.9685,0.210241463618517,"Seminatural",1
"61","Andrena_dunningi",1.2845,2.555875,0.194796987076897,"Seminatural",1
"62","Andrena_hirticincta",1.168,2.667,0.0196867104499441,"Seminatural",0.9973
"63","Andrena_milwaukeensis",1.0025,2.286,0.156772032346542,"Seminatural",1
"64","Andrena_miserabilis",0.4545,2.055,-0.433956168411443,"Seminatural",1
"65","Andrena_nasonii",0.3305,1.27,0.152463064732593,"Seminatural",0.9968
"66","Andrena_nubecula",0.4155,1.3335,0.289588808150405,"Seminatural",1
"67","Andrena_pruni",0.6605,1.762125,0.22898100579616,"Seminatural",0.4286
"68","Andrena_rugosa",0.515333333333333,1.54516666666667,0.227875078616756,"Seminatural",0.6715
"69","Andrena_vicina",1.56025,2.82575,0.200509822978708,"Seminatural",0.9999
"70","Andrena_wilkella",1.01025,2.286,0.164472977124401,"Seminatural",1
"71","Anthidium_manicatum",2.3458,3.6718,0.115770251284145,"Seminatural",1
"72","Anthidium_oblongatum",1.75257142857143,3.07185714285714,0.15970960329648,"Seminatural",1
"73","Augochlora_pura",0.586,1.9381,-0.0696972949217295,"Seminatural",1
"74","Augochlorella_aurata",0.35225,1.444625,-0.026073472214891,"Seminatural",1
"75","Augochloropsis_metallica",0.701,1.9685,0.080223129476201,"Seminatural",1
"76","Bombus_griseocollis",3.053,4.29683333333333,0.0836598128458149,"Seminatural",1
"77","Bombus_impatiens",2.59366666666667,4.14205555555556,-0.0104038040406887,"Seminatural",1
"78","Bombus_ternarius",1.987,3.1115,0.261138463509543,"Seminatural",1
"79","Bombus_vagans",1.179,2.794,-0.0584207353429976,"Seminatural",1
"80","Calliopsis_andreniformis",0.365,1.524,-0.0911030789744605,"Seminatural",1
"81","Ceratina_calcarata",0.332,1.70616666666667,-0.398194712563026,"Seminatural",1
"82","Ceratina_strenua",0.153,0.889,0.0530238095245676,"Seminatural",1
"83","Colletes_thoracicus",1.52133333333333,3.28083333333333,-0.105553144039858,"Seminatural",1
"84","Halictus_confusus",0.4184,1.7855,-0.252359556952746,"Seminatural",1
"85","Halictus_ligatus",0.689,2.49885714285714,-0.38566018050853,"Seminatural",1
"86","Halictus_rubicundus",0.83875,2.313875,-0.0443592557462495,"Seminatural",1
"87","Hylaeus_mesillae",0.34,1.76,-0.432801372462269,"Seminatural",1
"88","Hylaeus_modestus",0.31,2.08,-0.839320952911581,"Seminatural",1
"89","Lasioglossum_coriaceum",0.742,1.905,0.198725954331003,"Seminatural",1
"90","Lasioglossum_leucozonium",0.48,2.21666666666667,-0.521776310270077,"Seminatural",1
"91","Megachile_campanulae",0.822,2.286,-0.0417397317780023,"Seminatural",0.9801
"92","Megachile_mendica",1.803,2.8575,0.324104240089709,"Seminatural",1
"93","Megachile_pugnata",3,6.43,-0.691877599285036,"Seminatural",1
"94","Megachile_rotundata",1.391,3.1667,-0.128533499638932,"Seminatural",1
"95","Megachile_sculpturalis",3.854,4.7625,0.123153057065378,"Seminatural",1
"96","Nomada_cressonii",1.76,3.34,0.00656257079853171,"Seminatural",0.384
"97","Nomada_luteoloides",1.7,3.53,-0.132165880072828,"Seminatural",0.7718
"98","Osmia_atriventris",0.447,2.032,-0.429429790459283,"Seminatural",0.484
"99","Osmia_bucephala",1.421,3.048,-0.0353519512529819,"Seminatural",1
"100","Osmia_cornifrons",0.877,2.746375,-0.322005225808179,"Seminatural",1
"101","Osmia_lignaria",1.1735,3.46075,-0.465545783902124,"Seminatural",0.9912
"102","Osmia_pumila",0.604,1.80975,0.0894082728542806,"Seminatural",0.9999
"103","Ptilothrix_bombiformis",2.129,3.3655,0.182598517858549,"Seminatural",1
"104","Xylocopa_virginica",5.3,7.84857142857143,-0.497675151353017,"Seminatural",1
"105","Andrena_angustior",0.406333333333333,1.79733333333333,-0.294045495522293,"Urban",0
"106","Andrena_barbilabris",0.983,2.28,0.142071194081394,"Urban",0.038
"107","Andrena_bicolor",0.7025,2.205,-0.130993473787811,"Urban",0.0013
"108","Andrena_carantonica",1.8105,2.775,0.383347353774812,"Urban",0
"109","Andrena_chrysosceles",0.831,1.8525,0.364559004456993,"Urban",0
"110","Andrena_cineraria",1.6334,2.724,0.315290221971901,"Urban",0
"111","Andrena_dorsata",0.7176,2.262,-0.157720599563025,"Urban",0
"112","Andrena_flavipes",1.17966666666667,2.57211111111111,0.0977512911768199,"Urban",0
"113","Andrena_fucata",0.701,2.66,-0.485911365135228,"Urban",0
"114","Andrena_fulva",1.59133333333333,2.76,0.264509013876433,"Urban",1
"115","Andrena_gravida",1.59425,2.635,0.353496942785333,"Urban",0.04
"116","Andrena_haemorrhoa",1.1656,2.436,0.18799783531792,"Urban",0
"117","Andrena_labiata",0.58,2.23333333333333,-0.346620566084276,"Urban",0.0077
"118","Andrena_nigroaenea",1.71266666666667,3.57333333333333,-0.147686571136726,"Urban",0.1601
"119","Andrena_nitida",1.9736,2.808,0.44737273506524,"Urban",0
"120","Andrena_ovatula",0.746333333333333,2.69333333333333,-0.446665736364914,"Urban",0
"121","Andrena_pilipes",1.45714285714286,2.90642857142857,0.0792027894775054,"Urban",0.2405
"122","Andrena_semilaevis",0.277,1.575,-0.428883204706523,"Urban",0
"123","Andrena_subopaca",0.343333333333333,1.84666666666667,-0.513438132746577,"Urban",0
"124","Andrena_tibialis",1.6475,3.27,-0.0196615812858776,"Urban",0.9334
"125","Andrena_wilkella",1.01025,2.286,0.164472977124401,"Urban",0
"126","Anthidium_manicatum",2.3458,3.6718,0.115770251284145,"Urban",1
"127","Anthidium_oblongatum",1.75257142857143,3.07185714285714,0.15970960329648,"Urban",0.971
"128","Anthophora_bimaculata",1.48,2.82,0.151536307782016,"Urban",0
"129","Anthophora_plumipes",3.752,3.993,0.427731980440801,"Urban",1
"130","Anthophora_quadrimaculata",2.2225,3.86,-0.0322209988638852,"Urban",0.9999
"131","Bombus_hypnorum",2.29,3.37,0.252985209656174,"Urban",1
"132","Bombus_jonellus",2.3005,4.0175,-0.0729335994142793,"Urban",0
"133","Bombus_lucorum",2.4,4.861,-0.388986443173959,"Urban",0
"134","Bombus_muscorum",2.18222222222222,3.81166666666667,-0.026814369867663,"Urban",0
"135","Bombus_pascuorum",2.40409090909091,3.69790909090909,0.126991177121428,"Urban",0
"136","Bombus_pratorum",2.02641666666667,3.58775,0.012959196258651,"Urban",0.0073
"137","Bombus_terrestris",3.05281132075472,4.22879245283019,0.113614345120543,"Urban",1
"138","Dasypoda_hirtipes",0.47,2.957,-1.08473649191564,"Urban",0
"139","Halictus_confusus",0.4184,1.7855,-0.252359556952746,"Urban",0
"140","Halictus_quadricinctus",1.55,2.895,0.148389196177248,"Urban",0
"141","Halictus_rubicundus",0.83875,2.313875,-0.0443592557462495,"Urban",0
"142","Lasioglossum_calceatum",0.656333333333333,1.89166666666667,0.0892536770143502,"Urban",0
"143","Lasioglossum_fulvicorne",0.3,1.26,0.0705046200417651,"Urban",0
"144","Lasioglossum_leucozonium",0.48,2.21666666666667,-0.521776310270077,"Urban",0
"145","Lasioglossum_malachurum",0.424777777777778,1.43466666666667,0.174159443302799,"Urban",0
"146","Lasioglossum_punctatissimum",0.29775,1.5625,-0.341662309354123,"Urban",0
"147","Lasioglossum_sexnotatum",0.817666666666667,2.56,-0.25990563046771,"Urban",0.1299
"148","Lasioglossum_sexstrigatum",0.231,1.26,-0.190860144092642,"Urban",0.8902
"149","Lasioglossum_zonulum",0.657,2.285,-0.264973309688452,"Urban",0
"150","Megachile_centuncularis",1.3815,3.329875,-0.229872078164104,"Urban",0.9229
"151","Megachile_rotundata",1.391,3.1667,-0.128533499638932,"Urban",0.9998
"152","Megachile_willughbiella",1.966,3.694,-0.0721906823285321,"Urban",0.2611
"153","Nomada_succincta",1.34,2.057,0.645441524477969,"Urban",0.0336
"154","Osmia_caerulescens",0.704421052631579,2.13989473684211,-0.0719022023481536,"Urban",1
"155","Osmia_cornuta",1.79939325842697,3.41074157303371,-0.0107151103724384,"Urban",1
"156","Osmia_leaiana",1.1025,2.7655,-0.106226553940582,"Urban",1
"157","Panurgus_banksianus",1.63,2.379,0.567866845029763,"Urban",0.0122
"158","Panurgus_calcaratus",0.53,1.646375,0.136631073043337,"Urban",0
"159","Stelis_breviuscula",0.443333333333333,1.96566666666667,-0.37525419439881,"Urban",0.5544
"160","Xylocopa_violacea",6.77766666666667,5.91111111111111,0.281370158761188,"Urban",1
"161","Agapostemon_sericeus",0.8495,2.25425,0.0174690305643134,"Urban",0.9991
"162","Agapostemon_virescens",1.281,1.7145,0.942904127578453,"Urban",1
"163","Andrena_carlini",1.558,3.10233333333333,0.0234637091740494,"Urban",0
"164","Andrena_crataegi",0.798333333333333,1.9685,0.210241463618517,"Urban",0.404
"165","Andrena_dunningi",1.2845,2.555875,0.194796987076897,"Urban",0.9175
"166","Andrena_hirticincta",1.168,2.667,0.0196867104499441,"Urban",1
"167","Andrena_milwaukeensis",1.0025,2.286,0.156772032346542,"Urban",0.9105
"168","Andrena_miserabilis",0.4545,2.055,-0.433956168411443,"Urban",0.1459
"169","Andrena_nasonii",0.3305,1.27,0.152463064732593,"Urban",0
"170","Andrena_nubecula",0.4155,1.3335,0.289588808150405,"Urban",0.1449
"171","Andrena_pruni",0.6605,1.762125,0.22898100579616,"Urban",0
"172","Andrena_rugosa",0.515333333333333,1.54516666666667,0.227875078616756,"Urban",2e-04
"173","Andrena_vicina",1.56025,2.82575,0.200509822978708,"Urban",0.0073
"174","Andrena_wilkella",1.01025,2.286,0.164472977124401,"Urban",0.0213
