Species,Brain.weight,IT,residuals,Habitat,Preference
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.2940454955222933,Seminatural,0.908
Andrena_barbilabris,0.983,2.28,0.14207119408139418,Seminatural,0.4445
Andrena_bicolor,0.7025,2.205,-0.13099347378781145,Seminatural,1
Andrena_carantonica,1.8105,2.775,0.3833473537748119,Seminatural,1
Andrena_chrysosceles,0.831,1.8525,0.364559004456993,Seminatural,1
Andrena_cineraria,1.6334,2.7239999999999998,0.3152902219719008,Seminatural,0.4106
Andrena_dorsata,0.7176,2.262,-0.1577205995630248,Seminatural,1
Andrena_flavipes,1.1796666666666666,2.572111111111111,0.0977512911768199,Seminatural,1
Andrena_fucata,0.7010000000000001,2.66,-0.48591136513522837,Seminatural,0
Andrena_fulva,1.5913333333333333,2.76,0.26450901387643333,Seminatural,0.1499
Andrena_gravida,1.59425,2.635,0.35349694278533295,Seminatural,1
Andrena_haemorrhoa,1.1656,2.436,0.18799783531792033,Seminatural,1
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.34662056608427605,Seminatural,1
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,-0.14768657113672629,Seminatural,0.7846
Andrena_nitida,1.9736,2.808,0.4473727350652401,Seminatural,1
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.4466657363649135,Seminatural,0.982
Andrena_pilipes,1.4571428571428573,2.9064285714285716,0.07920278947750543,Seminatural,0.0213
Andrena_semilaevis,0.277,1.575,-0.4288832047065232,Seminatural,0.5351
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-0.513438132746577,Seminatural,0.9983
Andrena_tibialis,1.6475,3.27,-0.019661581285877614,Seminatural,0.9984
Andrena_wilkella,1.0102499999999999,2.286,0.16447297712440082,Seminatural,1
Anthidium_manicatum,2.3458,3.6718,0.1157702512841453,Seminatural,1
Anthidium_oblongatum,1.7525714285714287,3.071857142857143,0.1597096032964796,Seminatural,0.1584
Anthophora_bimaculata,1.48,2.82,0.15153630778201646,Seminatural,1e-4
Anthophora_plumipes,3.752,3.9930000000000003,0.4277319804408007,Seminatural,0
Anthophora_quadrimaculata,2.2225,3.8600000000000003,-0.03222099886388519,Seminatural,0.972
Bombus_hypnorum,2.29,3.37,0.2529852096561737,Seminatural,0
Bombus_jonellus,2.3005,4.0175,-0.07293359941427927,Seminatural,0
Bombus_lucorum,2.4,4.861,-0.3889864431739591,Seminatural,0
Bombus_muscorum,2.1822222222222223,3.8116666666666665,-0.026814369867662963,Seminatural,0.7277
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.12699117712142755,Seminatural,1
Bombus_pratorum,2.0264166666666665,3.5877499999999998,0.01295919625865095,Seminatural,0.0847
Bombus_terrestris,3.052811320754717,4.228792452830189,0.11361434512054332,Seminatural,0
Dasypoda_hirtipes,0.47,2.957,-1.084736491915638,Seminatural,1
Halictus_confusus,0.41840000000000005,1.7855,-0.2523595569527458,Seminatural,0
Halictus_quadricinctus,1.55,2.895,0.14838919617724772,Seminatural,0.7564
Halictus_rubicundus,0.83875,2.313875,-0.04435925574624953,Seminatural,1
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666666,0.08925367701435019,Seminatural,1
Lasioglossum_fulvicorne,0.3,1.26,0.07050462004176511,Seminatural,0.9756
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.5217763102700773,Seminatural,1
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,0.17415944330279923,Seminatural,1
Lasioglossum_punctatissimum,0.29775,1.5625,-0.341662309354123,Seminatural,0.967
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.2599056304677104,Seminatural,1
Lasioglossum_sexstrigatum,0.231,1.26,-0.19086014409264213,Seminatural,0.7849
Lasioglossum_zonulum,0.657,2.285,-0.26497330968845245,Seminatural,0.9994
Megachile_centuncularis,1.3815,3.329875,-0.22987207816410365,Seminatural,0.9993
Megachile_rotundata,1.391,3.1667,-0.12853349963893157,Seminatural,0
Megachile_willughbiella,1.966,3.694,-0.07219068232853212,Seminatural,1
Nomada_succincta,1.34,2.057,0.6454415244779687,Seminatural,0.0593
Osmia_caerulescens,0.704421052631579,2.139894736842105,-0.0719022023481536,Seminatural,0
Osmia_cornuta,1.7993932584269663,3.410741573033708,-0.010715110372438438,Seminatural,1
Osmia_leaiana,1.1025,2.7655,-0.10622655394058156,Seminatural,0.0192
Panurgus_banksianus,1.63,2.379,0.5678668450297626,Seminatural,0.5221
Panurgus_calcaratus,0.53,1.646375,0.13663107304333702,Seminatural,0.9989
Stelis_breviuscula,0.4433333333333333,1.9656666666666667,-0.37525419439880986,Seminatural,1
Xylocopa_violacea,6.777666666666667,5.911111111111111,0.2813701587611876,Seminatural,0
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.2940454955222933,Urban,0
Andrena_barbilabris,0.983,2.28,0.14207119408139418,Urban,0.0153
Andrena_bicolor,0.7025,2.205,-0.13099347378781145,Urban,1e-4
Andrena_carantonica,1.8105,2.775,0.3833473537748119,Urban,0
Andrena_chrysosceles,0.831,1.8525,0.364559004456993,Urban,0
Andrena_cineraria,1.6334,2.7239999999999998,0.3152902219719008,Urban,0
Andrena_dorsata,0.7176,2.262,-0.1577205995630248,Urban,0
Andrena_flavipes,1.1796666666666666,2.572111111111111,0.0977512911768199,Urban,0
Andrena_fucata,0.7010000000000001,2.66,-0.48591136513522837,Urban,0
Andrena_fulva,1.5913333333333333,2.76,0.26450901387643333,Urban,1
Andrena_gravida,1.59425,2.635,0.35349694278533295,Urban,0.0065
Andrena_haemorrhoa,1.1656,2.436,0.18799783531792033,Urban,0
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.34662056608427605,Urban,0.0023
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,-0.14768657113672629,Urban,0.0165
Andrena_nitida,1.9736,2.808,0.4473727350652401,Urban,0
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.4466657363649135,Urban,0
Andrena_pilipes,1.4571428571428573,2.9064285714285716,0.07920278947750543,Urban,0.1755
Andrena_semilaevis,0.277,1.575,-0.4288832047065232,Urban,0
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-0.513438132746577,Urban,0
Andrena_tibialis,1.6475,3.27,-0.019661581285877614,Urban,0.8888
Andrena_wilkella,1.0102499999999999,2.286,0.16447297712440082,Urban,0
Anthidium_manicatum,2.3458,3.6718,0.1157702512841453,Urban,1
Anthidium_oblongatum,1.7525714285714287,3.071857142857143,0.1597096032964796,Urban,0.9459
Anthophora_bimaculata,1.48,2.82,0.15153630778201646,Urban,0
Anthophora_plumipes,3.752,3.9930000000000003,0.4277319804408007,Urban,1
Anthophora_quadrimaculata,2.2225,3.8600000000000003,-0.03222099886388519,Urban,0.9959
Bombus_hypnorum,2.29,3.37,0.2529852096561737,Urban,1
Bombus_jonellus,2.3005,4.0175,-0.07293359941427927,Urban,0
Bombus_lucorum,2.4,4.861,-0.3889864431739591,Urban,0
Bombus_muscorum,2.1822222222222223,3.8116666666666665,-0.026814369867662963,Urban,0
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.12699117712142755,Urban,0
Bombus_pratorum,2.0264166666666665,3.5877499999999998,0.01295919625865095,Urban,0
Bombus_terrestris,3.052811320754717,4.228792452830189,0.11361434512054332,Urban,1
Dasypoda_hirtipes,0.47,2.957,-1.084736491915638,Urban,0
Halictus_confusus,0.41840000000000005,1.7855,-0.2523595569527458,Urban,0
Halictus_quadricinctus,1.55,2.895,0.14838919617724772,Urban,0
Halictus_rubicundus,0.83875,2.313875,-0.04435925574624953,Urban,0
Lasioglossum_calceatum,0.6563333333333333,1.8916666666666666,0.08925367701435019,Urban,0
Lasioglossum_fulvicorne,0.3,1.26,0.07050462004176511,Urban,0
Lasioglossum_leucozonium,0.48000000000000004,2.216666666666667,-0.5217763102700773,Urban,0
Lasioglossum_malachurum,0.4247777777777778,1.4346666666666668,0.17415944330279923,Urban,0
Lasioglossum_punctatissimum,0.29775,1.5625,-0.341662309354123,Urban,0
Lasioglossum_sexnotatum,0.8176666666666667,2.56,-0.2599056304677104,Urban,0.0623
Lasioglossum_sexstrigatum,0.231,1.26,-0.19086014409264213,Urban,0.7524
Lasioglossum_zonulum,0.657,2.285,-0.26497330968845245,Urban,0
Megachile_centuncularis,1.3815,3.329875,-0.22987207816410365,Urban,0.7588
Megachile_rotundata,1.391,3.1667,-0.12853349963893157,Urban,0.9998
Megachile_willughbiella,1.966,3.694,-0.07219068232853212,Urban,0.05
