Species,Urban,Natural,Agricultural
Andrena angustior,0,1,0.9589
Andrena barbilabris,0,1,0.649
Andrena bicolor,2e-4,0.2934,1
Andrena carantonica,0,0.0168,1
Andrena chrysosceles,0,0.9049,1
Andrena cineraria,0,0.9986,0.9981
Andrena dorsata,0,0.9353,1
Andrena flavipes,0,0,1
Andrena fucata,0,1,0.0904
Andrena fulva,1,0,0.3379
Andrena gravida,8e-4,0.0985,1
Andrena haemorrhoa,0,0.9962,1
Andrena labiata,0.003,0.007,1
Andrena nigriceps,2e-4,1,0.3992
Andrena nigroaenea,0.0365,0.0049,0.9996
Andrena nitida,0,0.0456,1
Andrena ovatula,0,1,0.9818
Andrena pilipes,0.1496,0.5558,0.7858
Andrena semilaevis,0,1,1
Andrena subopaca,0,1,1
Andrena tibialis,0.9751,0,0.7167
Andrena varians,0.1637,0.6299,0.6614
Andrena wilkella,0,1,1
Anthidium manicatum,1,0,5e-4
Anthidium oblongatum,0.989,0.7539,0.0015
Anthophora plumipes,1,0,0
Anthophora quadrimaculata,0.9982,0,0.9349
Anthophora retusa,0,0.9925,0.9992
Bombus hypnorum,1,0,0
Bombus jonellus,0,1,0.2174
Bombus muscorum,0,0.9996,1
Bombus pascuorum,0,1,1
Bombus pratorum,0,1,1
Bombus terrestris,1,1,0
Dasypoda hirtipes,0,1,1
Halictus confusus,0,1,0.729
Halictus rubicundus,0,1,1
Lasioglossum calceatum,0,1,1
Lasioglossum fulvicorne,0,1,0.9806
Lasioglossum leucozonium,0,1,1
Lasioglossum malachurum,0,0.3351,1
Lasioglossum punctatissimum,0,1,0.012
Lasioglossum sexnotatum,0,0.991,1
Lasioglossum sexstrigatum,0.8213,1,0
Lasioglossum zonulum,0,1,0.9894
Megachile centuncularis,0.4485,0,1
Megachile rotundata,1,0.0013,0.0036
Megachile willughbiella,0.1539,0.1514,0.9484
Nomada succincta,0,1,0.1159
Osmia caerulescens,1,0,0.071
Osmia cornuta,1,0,0
Osmia leaiana,0.9829,2e-4,0.4707
Panurgus banksianus,1e-4,1,0.0473
Panurgus calcaratus,0,0.9999,1
Stelis breviuscula,0.5794,0.0011,0.9319
Xylocopa violacea,1,0,0
