Species,Seminatural,Urban,Agricultural,Natural
Andrena barbilabris,0.4506,0.0149,0,0
Andrena bicolor,1,0,0,0
Andrena carantonica,1,0,0,0
Andrena chrysosceles,1,0,0,0
Andrena cineraria,0.401,0,0,0
Andrena dorsata,1,0,0,0
Andrena flavipes,1,0,0,0
Andrena fulva,0.1421,1,0,0
Andrena gravida,1,0.0068,0,0
Andrena haemorrhoa,1,0,0,0
Andrena labiata,1,0.0018,0,0
Andrena nigroaenea,0.7673,0.0194,0,0
Andrena nitida,1,0,0,0
Andrena subopaca,0.9993,0,0,0
Andrena tibialis,0.9992,0.896,0,0
Andrena wilkella,0.9999,0,0,0
Anthidium manicatum,0.9999,1,0,0
Anthophora plumipes,0,1,0,0
Anthophora quadrimaculata,0.9744,0.9958,0,0
Bombus hypnorum,0,1,0,0
Bombus jonellus,0,0,0,1
Bombus lucorum,0,0,0,0
Bombus pascuorum,1,0,0,0
Bombus pratorum,0.0799,0,0,0
Bombus terrestris,0,1,0,0
Dasypoda hirtipes,1,0,0,0
Halictus rubicundus,1,0,0,0
Lasioglossum calceatum,1,0,0,0
Lasioglossum fulvicorne,0.9762,0,0,0
Lasioglossum leucozonium,1,0,0,0
Lasioglossum malachurum,1,0,0,0
Lasioglossum punctatissimum,0.9694,0,0,0.0517
Lasioglossum sexnotatum,1,0.0633,0,0
Lasioglossum zonulum,0.9983,0,0,0
Megachile centuncularis,0.9995,0.7458,0,0
Megachile willughbiella,1,0.0447,0,0
Osmia caerulescens,0,1,0,0
Osmia cornuta,1,1,0,0
Osmia leaiana,0.0145,0.9996,0,0
Panurgus calcaratus,0.9984,0,0,0
Xylocopa violacea,0,1,0,0
