ID,family,genus,species,sex,body.mass.g,head.weight.g,IT.mm,brain.fresh.mg,brain.fix.mg,no.optic.lobes.weight.mg,country
id_208,Apidae,Ceratina,Ceratina_calcarata,M,NA,NA,0.95,NA,0.4,NA,USA
id_137,Halictidae,Lasioglossum,Lasioglossum_imitatum,F,0.0022,NA,1.09,0.15,NA,NA,USA
id_161,Halictidae,Lasioglossum,Lasioglossum_imitatum,M,0.0016,NA,1.19,0.22,NA,NA,USA
id_160,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0015,NA,1.29,0.2,NA,NA,USA
id_163,Halictidae,Lasioglossum,Lasioglossum_imitatum,F,0.0032,NA,1.29,0.21,NA,NA,USA
id_223,Halictidae,Lasioglossum,Lasioglossum_dialictus,F,NA,NA,1.304,NA,0.31,NA,USA
id_157,Halictidae,Lasioglossum,Lasioglossum_imitatum,M,0.0027,NA,1.34,0.2,NA,NA,USA
id_219,Colletidae,Hylaeus,Hylaeus_mesillae,F,NA,NA,1.4,NA,0.26,NA,USA
id_220,Colletidae,Hylaeus,Hylaeus_modestus,F,NA,NA,1.65,NA,0.31,NA,USA
id_99,Colletidae,Hylaeus,Hylaeus_modestus,F,0.0029,NA,1.46,0.22,NA,NA,USA
id_101,Colletidae,Hylaeus,Hylaeus_modestus,F,0.0065,NA,1.48,0.23,NA,NA,USA
id_162,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0052,NA,1.49,0.32,NA,NA,USA
id_66,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0082,NA,1.579,0.4,NA,NA,USA
id_58,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0067,NA,1.729,0.42,NA,NA,USA
id_43,Halictidae,Lasioglossum,Lasioglossum_imitatum,F,0.0037,NA,1.74,0.3,NA,NA,USA
id_44,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0037,NA,1.74,0.28,NA,NA,USA
id_123,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0101,NA,1.79,0.34,NA,NA,USA
id_55,Halictidae,Lasioglossum,Lasioglossum_imitatum,F,0.0039,NA,1.79,0.31,NA,NA,USA
id_93,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0087,NA,1.79,0.4,NA,NA,USA
id_134,Apidae,Ceratina,Ceratina_calcarata,F,0.0105,NA,1.83,0.28,0.43,NA,USA
id_210,Halictidae,Halictus,Halictus_confusus,F,NA,NA,1.867,NA,0.56,NA,USA
id_62,Halictidae,Lasioglossum,Lasioglossum_sp,M,0.0077,NA,1.879,0.43,NA,NA,USA
id_141,Halictidae,Halictus,Halictus_ligatus,M,0.0077,NA,1.88,0.42,0.63,NA,USA
id_158,Apidae,Ceratina,Ceratina_calcarata,F,0.0116,NA,1.88,0.34,NA,NA,USA
id_116,Apidae,Ceratina,Ceratina_calcarata,M,0.0088,NA,1.91,0.29,NA,NA,USA
id_203,Andrenidae,Andrena,Andrena_miserabilis,F,NA,NA,1.957,NA,0.6,NA,USA
id_60,Halictidae,Halictus,Halictus_confusus,M,0.0104,NA,1.957,0.45,NA,NA,USA
id_136,Apidae,Ceratina,Ceratina_calcarata,F,0.0135,NA,1.98,0.5,NA,NA,USA
id_138,Halictidae,Augochlora,Augochlora_pura,F,0.011,NA,1.98,0.52,NA,NA,USA
id_49,Apidae,Ceratina,Ceratina_calcarata,F,0.0115,NA,1.993,0.48,NA,NA,USA
id_32,Halictidae,Lasioglossum,Lasioglossum_cressonii,F,0.009,NA,2,0.38,NA,NA,USA
id_51,Apidae,Ceratina,Ceratina_calcarata,M,0.01,NA,2.064,0.38,NA,NA,USA
id_33,Apidae,Ceratina,Ceratina_calcarata,F,0.013,NA,2.08,0.39,0.46,NA,USA
id_125,Halictidae,Halictus,Halictus_ligatus,M,0.0102,NA,2.1,0.64,NA,NA,USA
id_124,Halictidae,Halictus,Halictus_ligatus,M,0.0117,NA,2.16,0.71,NA,NA,USA
id_207,Halictidae,Augochlora,Augochlora_pura,F,NA,NA,2.174,NA,0.5,NA,USA
id_205,Andrenidae,Andrena,Andrena_simplex,F,NA,NA,2.217,NA,0.6,NA,USA
id_142,Halictidae,Halictus,Halictus_ligatus,M,0.0098,NA,2.23,0.56,0.72,NA,USA
id_139,Halictidae,Halictus,Halictus_ligatus,M,0.0123,NA,2.28,0.46,0.67,NA,USA
id_226,Nomadinae,Nomada,Nomada_cressonii,F,NA,NA,2.304,NA,1.76,NA,USA
id_145,Colletidae,Colletes,Colletes_simulans,M,0.0507,NA,2.371,1,NA,NA,USA
id_100,Halictidae,Agapostemon,Agapostemon_sericeus,M,0.021,NA,2.41,0.95,NA,NA,USA
id_112,Apidae,Melissodes,Melissodes_desponsus,F,0.0735,NA,2.429,1.6,NA,NA,USA
id_206,Andrenidae,Andrena,Andrena_simplex,F,NA,NA,2.435,NA,0.7,NA,USA
id_227,Nomadinae,Nomada,Nomada_luteoloides,F,NA,NA,2.435,NA,1.7,NA,USA
id_24,Andrenidae,Andrena,Andrena_nubecula,F,0.02,NA,2.46,1.2,NA,NA,USA
id_102,Halictidae,Augochlora,Augochlora_pura,F,0.0244,NA,2.47,0.91,NA,NA,USA
id_95,Halictidae,Augochlora,Augochlora_pura,F,0.033,NA,2.47,0.97,NA,NA,USA
id_133,Apidae,Melissodes,Melissodes_bimaculata,F,0.0567,NA,2.514,1,NA,NA,USA
id_140,Halictidae,Halictus,Halictus_ligatus,M,0.0194,NA,2.52,0.6,0.73,NA,USA
id_144,Halictidae,Lasioglossum,Lasioglossum_coriaceum,M,0.0249,NA,2.52,0.85,NA,NA,USA
id_204,Andrenidae,Andrena,Andrena_simplex,F,NA,NA,2.522,NA,0.9,NA,USA
id_216,Halictidae,Halictus,Halictus_ligatus,F,NA,NA,2.55,NA,0.72,NA,USA
id_106,Colletidae,Colletes,Colletes_simulans,F,0.0626,NA,2.557,1.6,NA,NA,USA
id_73,Nomadinae,Epeolus,Epeolus_scutellaris,M,0.024,NA,2.58,1.65,NA,NA,USA
id_118,Halictidae,Halictus,Halictus_ligatus,M,0.0149,NA,2.59,0.55,NA,NA,USA
id_97,Halictidae,Halictus,Halictus_ligatus,M,0.0238,NA,2.59,0.74,NA,NA,USA
id_104,Megachilidae,Megachile,Megachile_relativa,F,0.0535,NA,2.6,1.2,NA,NA,USA
id_98,Megachilidae,Megachile,Megachile_relativa,F,0.0443,NA,2.6,1.3,NA,NA,USA
id_50,Halictidae,Augochlora,Augochlora_pura,M,0.0108,NA,2.63,0.55,NA,NA,USA
id_113,Colletidae,Colletes,Colletes_simulans,F,0.055,NA,2.643,1.4,NA,NA,USA
id_132,Apidae,Melissodes,Melissodes_bimaculata,F,0.0628,NA,2.643,1.3,NA,NA,USA
id_217,Halictidae,Halictus,Halictus_ligatus,F,NA,NA,2.65,NA,0.7,NA,USA
id_53,Megachilidae,Anthidium,Anthidium_oblongatum,F,0.043,NA,2.679,1.5,1.8,NA,USA
id_72,Megachilidae,Megachile,Megachile_rotundata,M,0.0193,NA,2.71,0.93,NA,NA,USA
id_26,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.044,NA,2.75,2,2.3,NA,USA
id_37,Megachilidae,Anthidium,Anthidium_oblongatum,F,0.046,NA,2.75,1.5,NA,NA,USA
id_39,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.043,NA,2.75,1.6,NA,NA,USA
id_109,Colletidae,Colletes,Colletes_simulans,F,0.0697,NA,2.779,1.5,NA,NA,USA
id_131,Apidae,Melissodes,Melissodes_desponsus,F,0.0654,NA,2.779,1.1,NA,NA,USA
id_42,Megachilidae,Anthidium,Anthidium_oblongatum,F,0.048,NA,2.8,1.5,NA,NA,USA
id_47,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.054,NA,2.8,1.5,NA,NA,USA
id_48,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.052,NA,2.8,1.5,NA,NA,USA
id_159,Colletidae,Colletes,Colletes_compactus,F,0.085,NA,2.814,1.6,NA,NA,USA
id_225,Megachilidae,Megachile,Megachile_rotundata,F,NA,NA,2.826,NA,2,NA,USA
id_79,Nomadinae,Epeolus,Epeolus_scutellaris,M,0.0273,NA,2.83,1.3,NA,NA,USA
id_52,Megachilidae,Megachile,Megachile_rotundata,F,0.0285,NA,2.893,1,1.2,NA,USA
id_202,Andrenidae,Andrena,Andrena_carlini,F,NA,NA,2.929,NA,1.6,NA,USA
id_71,Apidae,Apis,Apis_mellifera,F,0.0795,NA,2.986,2,NA,NA,USA
id_75,Apidae,Apis,Apis_mellifera,F,0.0797,NA,2.986,1.9,NA,NA,USA
id_64,Apidae,Apis,Apis_mellifera,F,0.1096,NA,3.036,1.7,NA,NA,USA
id_81,Apidae,Apis,Apis_mellifera,F,0.0865,NA,3.036,1.9,NA,NA,USA
id_25,Apidae,Apis,Apis_mellifera,F,0.074,NA,3.079,1.8,1.9,NA,USA
id_59,Apidae,Melissodes,Melissodes_agilis,M,0.0355,NA,3.121,1.1,NA,NA,USA
id_69,Megachilidae,Megachile,Megachile_mucida,F,0.0817,NA,3.164,1.5,NA,NA,USA
id_127,Apidae,Bombus,Bombus_impatiens,F,0.112,NA,3.171,1.9,NA,NA,USA
id_63,Apidae,Apis,Apis_mellifera,F,0.0855,NA,3.25,1.8,NA,NA,USA
id_36,Megachilidae,Anthidium,Anthidium_manicatum,M,0.086,NA,3.407,2.1,NA,NA,USA
id_45,Apidae,Bombus,Bombus_impatiens,F,0.129,NA,3.407,2.4,NA,NA,USA
id_115,Megachilidae,Megachile,Megachile_latimanus,F,0.1276,NA,3.571,2.1,NA,NA,USA
id_107,Megachilidae,Megachile,Megachile_relativa,F,0.0568,NA,3.69,1.5,NA,NA,USA
id_89,Megachilidae,Megachile,Megachile_centuncularis,F,0.05,NA,3.69,1.4,NA,NA,USA
id_201,Andrenidae,Andrena,Andrena_dunningi,F,NA,NA,3.696,NA,1.6,NA,USA
id_35,Megachilidae,Anthidium,Anthidium_manicatum,M,0.128,NA,3.736,2.5,3.3,NA,USA
id_77,Megachilidae,Megachile,Megachile_rotundata,M,0.0178,NA,3.79,0.88,NA,NA,USA
id_29,Megachilidae,Anthidium,Anthidium_manicatum,M,0.105,NA,3.793,2.1,2.7,NA,USA
id_84,Apidae,Bombus,Bombus_impatiens,F,0.0878,NA,3.82,2.2,NA,NA,USA
id_22,Megachilidae,Anthidium,Anthidium_manicatum,M,0.138,NA,3.843,2.5,2.8,NA,USA
id_14,Apidae,Bombus,Bombus_impatiens,F,0.086,NA,3.92,2.1,2.4,NA,USA
id_65,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.0505,NA,3.94,1.3,NA,NA,USA
id_11,Apidae,Bombus,Bombus_impatiens,F,0.083,NA,4,1.8,2.7,NA,USA
id_114,Megachilidae,Megachile,Megachile_mendica,F,0.0755,NA,4.01,2,NA,NA,USA
id_23,Megachilidae,Anthidium,Anthidium_oblongatum,M,0.068,NA,4.15,1.7,NA,NA,USA
id_120,Apidae,Bombus,Bombus_fervidus,F,0.076,NA,4.2,2.5,NA,NA,USA
id_16,Apidae,Bombus,Bombus_impatiens,F,0.093,NA,4.23,2.2,NA,NA,USA
id_41,Megachilidae,Anthidium,Anthidium_oblongatum,F,0.069,NA,4.23,1.5,NA,NA,USA
id_46,Apidae,Bombus,Bombus_impatiens,F,0.185,NA,4.257,2.9,NA,NA,USA
id_34,Apidae,Bombus,Bombus_impatiens,F,0.22,NA,4.286,2.8,NA,NA,USA
