"","x"
"1","Amegilla quadrifasciata"
"2","Andrena angustior"
"3","Andrena barbilabris"
"4","Andrena bicolor"
"5","Andrena carantonica"
"6","Andrena carlini"
"7","Andrena chrysosceles"
"8","Andrena cineraria"
"9","Andrena cinerea"
"10","Andrena dorsata"
"11","Andrena dunningi"
"12","Andrena flavipes"
"13","Andrena fucata"
"14","Andrena fulva"
"15","Andrena gravida"
"16","Andrena haemorrhoa"
"17","Andrena hispania"
"18","Andrena labiata"
"19","Andrena miserabilis"
"20","Andrena morio"
"21","Andrena nigriceps"
"22","Andrena nigroaenea"
"23","Andrena nitida"
"24","Andrena nubecula"
"25","Andrena ovatula"
"26","Andrena pilipes"
"27","Andrena rhyssonota"
"28","Andrena semilaevis"
"29","Andrena simplex"
"30","Andrena subopaca"
"31","Andrena tibialis"
"32","Andrena varians"
"33","Anthidium florentinum"
"34","Anthidium manicatum"
"35","Anthidium oblongatum"
"36","Anthophora dispar"
"37","Anthophora plumipes"
"38","Anthophora quadrimaculata"
"39","Anthophora retusa"
"40","Augochlora pura"
"41","Bombus fervidus"
"42","Bombus hypnorum"
"43","Bombus impatiens"
"44","Bombus jonellus"
"45","Bombus muscorum"
"46","Bombus pascuorum"
"47","Bombus pratorum"
"48","Bombus terrestris"
"49","Bombus vagans"
"50","Ceratina calcarata"
"51","Colletes compactus"
"52","Colletes simulans"
"53","Dasypoda hirtipes"
"54","Eucera elongatula"
"55","Eucera rufa"
"56","Halictus confusus"
"57","Halictus ligatus"
"58","Halictus rubicundus"
"59","Heriades rubicola"
"60","Hoplitis papaveris"
"61","Hylaeus mesillae"
"62","Hylaeus modestus"
"63","Lasioglossum calceatum"
"64","Lasioglossum cressonii"
"65","Lasioglossum dialictus"
"66","Lasioglossum fulvicorne"
"67","Lasioglossum imitatum"
"68","Lasioglossum immunitum"
"69","Lasioglossum leucozonium"
"70","Lasioglossum malachurum"
"71","Lasioglossum punctatissimum"
"72","Lasioglossum sexnotatum"
"73","Lasioglossum sexstrigatum"
"74","Lasioglossum zonulum"
"75","Megachile centuncularis"
"76","Megachile latimanus"
"77","Megachile mendica"
"78","Megachile mucida"
"79","Megachile pugnata"
"80","Megachile relativa"
"81","Megachile rotundata"
"82","Megachile willughbiella"
"83","Melissodes bimaculata"
"84","Melissodes desponsus"
"85","Nomada agrestis"
"86","Nomada cressonii"
"87","Nomada luteoloides"
"88","Nomada merceti"
"89","Nomada succincta"
"90","Osmia bicornis"
"91","Osmia caerulescens"
"92","Osmia cornuta"
"93","Osmia lateralis"
"94","Osmia latreillei"
"95","Osmia leaiana"
"96","Osmia submicans"
"97","Panurgus banksianus"
"98","Panurgus calcaratus"
"99","Panurgus venustus"
"100","Rhodanthidium sticticum"
"101","Stelis breviuscula"
"102","Systropha planidens"
"103","Xylocopa cantabrita"
"104","Xylocopa valga"
"105","Xylocopa violacea"
"106","Xylocopa virginica"
