Species,Brain.weight,IT,log_brain_weight,log_it,residuals
Agapostemon sericeus,0.844,2.032,-0.16960278438617998,0.7090205297162355,0.04151998034240597
Agapostemon virescens,1.2810000000000001,1.7145,0.2476410229145973,0.5391214929208379,0.603820532324538
Amegilla quadrifasciata,3.92625,3.848625,1.3676847718707192,1.3477159416518512,0.20445788747445784
Andrena angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.15997964351624933
Andrena barbilabris,0.983,2.28,-0.017146158834970514,0.8241754429663494,0.10215508834605609
Andrena bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094,-0.05934089945638189
Andrena carantonica,1.7206666666666666,2.7600000000000002,0.5427118126283124,1.0152306797290587,0.2266777112916954
Andrena carlini,1.6,2.929,0.47000362924573563,1.0746610678455963,0.11978568836437388
Andrena chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105,0.229530448152099
Andrena cineraria,1.7583333333333333,2.62,0.5643663906940205,0.9631743177730056,0.292156243591293
Andrena cinerea,0.456,1.909,-0.7852624694677509,0.6465795447436106,-0.15760665073131155
Andrena dorsata,0.74225,2.4074999999999998,-0.29806916533826794,0.8785888646901434,-0.12374579011357384
Andrena dunningi,1.6,3.696,0.47000362924573563,1.3072511537794378,-0.1298500739718929
Andrena flavipes,1.148375,2.5575,0.1383478996094934,0.9390302188436446,0.07203646687348908
Andrena fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.26101638549771256
Andrena fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.17892242162196176
Andrena gravida,1.4743333333333333,2.4,0.38820591021808,0.8754687373538999,0.2870910417042603
Andrena haemorrhoa,1.1797499999999999,2.4525,0.16530255162435972,0.8971079124573812,0.1316300838679411
Andrena hirticincta,1.168,2.667,0.15529288440603525,0.9809542451998772,0.03515715491992323
Andrena hispania,2.361,2.9625,0.859085258103376,1.0860335064612496,0.3360996039094052
Andrena labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.18692921827043044
Andrena milwaukeensis,1.0025,2.286,0.002496880198587146,0.8268035653726189,0.1134023904815937
Andrena miserabilis,0.6,1.957,-0.5108256237659907,0.6714126884139392,-0.024400626433608363
Andrena morio,0.55,3.04,-0.5978370007556204,1.1118575154181303,-0.5466868953241057
Andrena nigriceps,0.814,2.62,-0.20579491297959682,0.9631743177730056,-0.15786215439151913
Andrena nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.05127727778987823
Andrena nitida,2.183,2.7199999999999998,0.7807000775678068,1.000631880307906,0.38147480304715337
Andrena ovatula,0.7463333333333333,2.6933333333333334,-0.29258295105149196,0.9907795838648943,-0.23896719043080075
Andrena pilipes,1.5656666666666668,2.9226666666666667,0.44831171837674844,1.07249644153755,0.10810482024407876
Andrena rhyssonota,0.43779999999999997,1.911,-0.8259930938933746,0.647626665258136,-0.18069123468696585
Andrena semilaevis,0.254,1.64,-1.3704210119636004,0.494696241836107,-0.3366332106882979
Andrena simplex,0.7333333333333333,2.3913333333333333,-0.3101549283038396,0.8718510904419812,-0.1189025136868906
Andrena subopaca,0.3433333333333333,1.8466666666666667,-1.0690534864265653,0.6133822120910828,-0.287801728422437
Andrena tibialis,1.6475,3.27,0.49925898739452523,1.184789984909162,0.019440430965535594
Andrena varians,1.17,2.52,0.1570037488096647,0.9242589015233319,0.09789948453667763
Andrena vicina,1.5150000000000001,2.7432,0.41541543896133254,1.0091251221665736,0.15730688797808848
Andrena wilkella,1.1126666666666667,2.4341666666666666,0.10675953657153367,0.8896044666116493,0.10729876689215846
Anthidium florentinum,4.46,4.254,1.4951487660319727,1.4478597167780454,0.2697489343027199
Anthidium manicatum,1.952,2.8388,0.6688544879909007,1.0433814276686908,0.1928400720542266
Anthidium oblongatum,1.8,2.679,0.5877866649021191,0.9854435905624717,0.21252498288810906
Anthophora dispar,4.532,3.842,1.5111633431657598,1.345993064346365,0.36054529934232543
Anthophora plumipes,3.676,4.08,1.3018252044934406,1.4060969884160703,0.11275480594836682
Anthophora quadrimaculata,2.2225,3.8600000000000003,0.7986326884059226,1.3506671834767396,-0.1971039662552988
Anthophora retusa,2.096,3.923,0.7400307664587957,1.3668566672274156,-0.2676699157097084
Augochlora pura,0.5,2.174,-0.6931471805599453,0.7765687886990177,-0.27565223543354095
Augochlorella aurata,0.35225,1.444625,-1.0434141282033473,0.3678497723134684,0.04220393502077461
Augochloropsis metallica,0.7010000000000001,1.9685,-0.35524739194754684,0.6772718314016551,0.1056540373141728
Bombus griseocollis,3.053,4.296833333333334,1.1161247137527408,1.4578783172901866,0.0231300171803196
Bombus hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704,0.12607295868705834
Bombus impatiens,2.8000000000000003,4.416,1.0296194171811583,1.4852343089747944,-0.06845972600065738
Bombus jonellus,2.395,4.233333333333333,0.8733832308628786,1.442989704796436,-0.12161497258285069
Bombus muscorum,1.8957142857142857,3.7925714285714283,0.6395956992888028,1.3330442662283652,-0.14403061154190194
Bombus pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112,0.04596158606847727
Bombus pratorum,2.019,3.562,0.7026023393307005,1.27032218486747,-0.02460266653075451
Bombus terrestris,2.8842,4.1262,1.0592475651458328,1.4173568865717083,0.032881727525368325
Calliopsis andreniformis,0.365,1.524,-1.0078579253996456,0.42133845726445457,-0.08297536508610756
Ceratina calcarata,0.445,1.955,-0.8096809968158968,0.6703901934373291,-0.25999957275678487
Ceratina strenua,0.153,0.889,-1.8773173575897015,-0.11765804346823246,-0.003855712982896428
Chelostoma philadephi,0.253,1.2065,-1.374365790254617,0.1877236060829493,-0.07056600595601323
Colletes thoracicus,1.5213333333333332,3.2808333333333333,0.4195871433317194,1.1880974551676458,0.023021508437340753
Dasypoda hirtipes,0.47,2.957,-0.7550225842780328,1.08417524087034,-0.36218623718133464
Eucera elongatula,1.5899999999999999,2.846,0.46373401623214006,1.0459144996676606,0.0814273063976002
Eucera rufa,2.139,3.816,0.7603384301002685,1.33920275358604,-0.13689242844246394
Halictus confusus,0.47300000000000003,1.849,-0.748659890490204,0.6146449524049877,-0.08233907368146201
Halictus ligatus,0.71,2.5999999999999996,-0.342490308946776,0.9555114450274362,-0.2650799274158599
Halictus rubicundus,0.9706666666666667,2.2718333333333334,-0.029772158333670144,0.820587141360651,0.19710138945855002
Heriades rubicola,0.42,1.229,-0.8675005677047231,0.20620083058389785,0.2964445950514837
Hoplitis papaveris,1.1,2.213,0.09531017980432493,0.7943490610689127,0.2539511951188521
Hylaeus mesillae,0.26,1.4,-1.3470736479666092,0.3364722366212129,-0.051209014173588085
Hylaeus modestus,0.31,1.65,-1.171182981502945,0.5007752879124892,-0.13122059629570568
Lasioglossum calceatum,0.6653333333333333,1.7466666666666666,-0.40746711077883746,0.557709209664841,0.29392829204652404
Lasioglossum dialictus,0.31,1.304,-1.171182981502945,0.26543646350446126,0.10089319982902334
