db,query,order,family,subfamily,genus
ncbi,Bombus pratorum,Hymenoptera,Apidae,Apinae,Bombus
ncbi,Bombus pascuorum,Hymenoptera,Apidae,Apinae,Bombus
ncbi,Bombus terrestris,Hymenoptera,Apidae,Apinae,Bombus
ncbi,Xylocopa cantabrita,Hymenoptera,Apidae,Xylocopinae,Xylocopa
ncbi,Xylocopa valga,Hymenoptera,Apidae,Xylocopinae,Xylocopa
ncbi,Eucera elongatula,Hymenoptera,Apidae,Apinae,Eucera
ncbi,Nomada succincta,Hymenoptera,Apidae,Nomadinae,Nomada
ncbi,Andrena hispania,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Panurgus calcaratus,Hymenoptera,Andrenidae,Panurginae,Panurgus
ncbi,Rhodanthidium sticticum,Hymenoptera,Megachilidae,Megachilinae,Rhodanthidium
ncbi,Hoplitis papaveris,Hymenoptera,Megachilidae,Megachilinae,Hoplitis
ncbi,Nomada merceti,Hymenoptera,Apidae,Nomadinae,Nomada
ncbi,Andrena flavipes,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Amegilla quadrifasciata,Hymenoptera,Apidae,Apinae,Amegilla
ncbi,Systropha planidens,Hymenoptera,Halictidae,Rophitinae,Systropha
ncbi,Lasioglossum immunitum,Hymenoptera,Halictidae,Halictinae,Lasioglossum
ncbi,Anthidium manicatum,Hymenoptera,Megachilidae,Megachilinae,Anthidium
ncbi,Anthidium florentinum,Hymenoptera,Megachilidae,Megachilinae,Anthidium
ncbi,Megachile centuncularis,Hymenoptera,Megachilidae,Megachilinae,Megachile
ncbi,Bombus muscorum,Hymenoptera,Apidae,Apinae,Bombus
ncbi,Heriades rubicola,Hymenoptera,Megachilidae,Megachilinae,Heriades
ncbi,Andrena morio,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Dasypoda hirtipes,Hymenoptera,Melittidae,Dasypodainae,Dasypoda
ncbi,Panurgus banksianus,Hymenoptera,Andrenidae,Panurginae,Panurgus
ncbi,Andrena dorsata,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Lasioglossum calceatum,Hymenoptera,Halictidae,Halictinae,Lasioglossum
ncbi,Andrena tibialis,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Lasioglossum punctatissimum,Hymenoptera,Halictidae,Halictinae,Lasioglossum
ncbi,Lasioglossum zonulum,Hymenoptera,Halictidae,Halictinae,Lasioglossum
ncbi,Lasioglossum leucozonium,Hymenoptera,Halictidae,Halictinae,Lasioglossum
ncbi,Andrena nigroaenea,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Andrena nitida,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Andrena cineraria,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Halictus rubicundus,Hymenoptera,Halictidae,Halictinae,Halictus
ncbi,Andrena labiata,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Andrena subopaca,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Andrena ovatula,Hymenoptera,Andrenidae,Andreninae,Andrena
ncbi,Lasioglossum sexnotatum,Hymenoptera,Halictidae,Halictinae,Lasioglossum
ncbi,Osmia caerulescens,Hymenoptera,Megachilidae,Megachilinae,Osmia
