"","long","lat","group","order","region","subregion"
"1",-73.9172821044922,40.9034576416016,1797,52972,"new york","bronx"
"2",-73.9115524291992,40.9091873168945,1797,52973,"new york","bronx"
"3",-73.8084259033203,40.8862686157227,1797,52974,"new york","bronx"
"4",-73.8256072998047,40.8690795898438,1797,52975,"new york","bronx"
"5",-73.8198852539062,40.8576202392578,1797,52976,"new york","bronx"
"6",-73.8198852539062,40.8232421875,1797,52977,"new york","bronx"
"7",-73.8141555786133,40.8117828369141,1797,52978,"new york","bronx"
"8",-73.8943710327148,40.8060531616211,1797,52979,"new york","bronx"
"9",-73.9172821044922,40.9034576416016,1797,52980,"new york","bronx"
"10",-73.8657150268555,40.6341667175293,1818,53609,"new york","kings"
"11",-73.8943710327148,40.6227073669434,1818,53610,"new york","kings"
"12",-73.9230117797852,40.6112480163574,1818,53611,"new york","kings"
"13",-73.945930480957,40.5825996398926,1818,53612,"new york","kings"
"14",-73.957389831543,40.5654106140137,1818,53613,"new york","kings"
"15",-74.0032272338867,40.5825996398926,1818,53614,"new york","kings"
"16",-74.0032272338867,40.6055183410645,1818,53615,"new york","kings"
"17",-74.0089569091797,40.6227073669434,1818,53616,"new york","kings"
"18",-74.0204162597656,40.6456260681152,1818,53617,"new york","kings"
"19",-74.0261535644531,40.6628150939941,1818,53618,"new york","kings"
"20",-74.0146865844727,40.6742744445801,1818,53619,"new york","kings"
"21",-73.9917678833008,40.680004119873,1818,53620,"new york","kings"
"22",-73.9688491821289,40.697193145752,1818,53621,"new york","kings"
"23",-73.945930480957,40.7201080322266,1818,53622,"new york","kings"
"24",-73.9344787597656,40.7086524963379,1818,53623,"new york","kings"
"25",-73.9402084350586,40.697193145752,1818,53624,"new york","kings"
"26",-73.9230117797852,40.680004119873,1818,53625,"new york","kings"
"27",-73.8943710327148,40.6742744445801,1818,53626,"new york","kings"
"28",-73.8829040527344,40.6570854187012,1818,53627,"new york","kings"
"29",-73.8657150268555,40.6341667175293,1818,53628,"new york","kings"
"30",-73.7167510986328,40.5768699645996,1824,53767,"new york","nassau"
"31",-73.7453918457031,40.6112480163574,1824,53768,"new york","nassau"
"32",-73.7339401245117,40.6227073669434,1824,53769,"new york","nassau"
"33",-73.7224807739258,40.6456260681152,1824,53770,"new york","nassau"
"34",-73.7167510986328,40.6628150939941,1824,53771,"new york","nassau"
"35",-73.7282104492188,40.7143821716309,1824,53772,"new york","nassau"
"36",-73.7224807739258,40.7201080322266,1824,53773,"new york","nassau"
"37",-73.7110214233398,40.7258415222168,1824,53774,"new york","nassau"
"38",-73.7110214233398,40.7373008728027,1824,53775,"new york","nassau"
"39",-73.7282104492188,40.7602157592773,1824,53776,"new york","nassau"
"40",-73.7625885009766,40.7774085998535,1824,53777,"new york","nassau"
"41",-73.7568588256836,40.8003273010254,1824,53778,"new york","nassau"
"42",-73.7339401245117,40.8003273010254,1824,53779,"new york","nassau"
"43",-73.7224807739258,40.8060531616211,1824,53780,"new york","nassau"
"44",-73.7224807739258,40.8347015380859,1824,53781,"new york","nassau"
"45",-73.7052917480469,40.8461608886719,1824,53782,"new york","nassau"
"46",-73.682373046875,40.8404350280762,1824,53783,"new york","nassau"
"47",-73.6651840209961,40.8175163269043,1824,53784,"new york","nassau"
"48",-73.6594543457031,40.8232421875,1824,53785,"new york","nassau"
"49",-73.6594543457031,40.8347015380859,1824,53786,"new york","nassau"
"50",-73.6651840209961,40.8518905639648,1824,53787,"new york","nassau"
"51",-73.6308059692383,40.8805389404297,1824,53788,"new york","nassau"
"52",-73.5620498657227,40.9091873168945,1824,53789,"new york","nassau"
"53",-73.5334091186523,40.9034576416016,1824,53790,"new york","nassau"
"54",-73.5104827880859,40.8748092651367,1824,53791,"new york","nassau"
"55",-73.4818420410156,40.8919982910156,1824,53792,"new york","nassau"
"56",-73.4417343139648,40.7716789245605,1824,53793,"new york","nassau"
"57",-73.4016265869141,40.6513557434082,1824,53794,"new york","nassau"
"58",-73.4646453857422,40.6398963928223,1824,53795,"new york","nassau"
"59",-73.4990234375,40.6456260681152,1824,53796,"new york","nassau"
"60",-73.5391311645508,40.6341667175293,1824,53797,"new york","nassau"
"61",-73.6537246704102,40.6112480163574,1824,53798,"new york","nassau"
"62",-73.688102722168,40.6112480163574,1824,53799,"new york","nassau"
"63",-73.7167510986328,40.5768699645996,1824,53800,"new york","nassau"
"64",-73.9287414550781,40.8060531616211,1825,53802,"new york","new york"
"65",-73.9344787597656,40.7888641357422,1825,53803,"new york","new york"
"66",-73.95166015625,40.7774085998535,1825,53804,"new york","new york"
"67",-73.9631195068359,40.7544898986816,1825,53805,"new york","new york"
"68",-73.9688491821289,40.7373008728027,1825,53806,"new york","new york"
"69",-73.9745788574219,40.7258415222168,1825,53807,"new york","new york"
"70",-74.0032272338867,40.7143821716309,1825,53808,"new york","new york"
"71",-74.0204162597656,40.7086524963379,1825,53809,"new york","new york"
"72",-74.0261535644531,40.7201080322266,1825,53810,"new york","new york"
"73",-74.0032272338867,40.7659454345703,1825,53811,"new york","new york"
"74",-73.9745788574219,40.7945976257324,1825,53812,"new york","new york"
"75",-73.95166015625,40.8347015380859,1825,53813,"new york","new york"
"76",-73.9344787597656,40.8404350280762,1825,53814,"new york","new york"
"77",-73.9287414550781,40.8347015380859,1825,53815,"new york","new york"
"78",-73.9344787597656,40.8232421875,1825,53816,"new york","new york"
"79",-73.9287414550781,40.8060531616211,1825,53817,"new york","new york"
"80",-74.765266418457,41.4305801391602,1830,53959,"new york","orange"
"81",-74.7595367431641,41.4993362426758,1830,53960,"new york","orange"
"82",-74.4787902832031,41.5050621032715,1830,53961,"new york","orange"
"83",-74.4501342773438,41.5279808044434,1830,53962,"new york","orange"
