Species,Agricultural,Natural,Urban,Seminatural
Agapostemon sericeus,0.9914,0.7769,0.5615,0.001
Agapostemon virescens,1,0,0.0072,0.8802
Andrena carlini,0.9996,1,0,0
Andrena crataegi,0.9997,0.242,0.0357,0.1771
Andrena dunningi,0.9233,0.2399,0.2045,0.4599
Andrena hirticincta,0.9488,0.2793,0.9816,0.001
Andrena milwaukeensis,0.0046,0.9987,0.3286,0.2105
Andrena miserabilis,0.9023,0.9994,6e-4,0.0342
Andrena nasonii,0.998,1,0,0
Andrena nubecula,2e-4,0.9997,0.0032,0.815
Andrena pruni,0,1,0,0
Andrena rugosa,0.7734,1,0,0
Andrena vicina,1,0.994,0,0
Andrena wilkella,1,0.0078,0,0.8188
Anthidium manicatum,0,0,1,0.9992
Anthidium oblongatum,0.9284,0,0.8684,1
Augochlora pura,1,1,0,0.0035
Augochlorella aurata,1,1,0,0
Augochloropsis metallica,1,1,0,0.005
Bombus griseocollis,0,0,1,0.9671
Bombus impatiens,0,0,1,0.9804
Bombus ternarius,1,1,0,0.4368
Bombus vagans,1,0.0354,0,0.8338
Calliopsis andreniformis,1,0.9995,0,0.998
Ceratina calcarata,1,1,0,0.007
Ceratina strenua,0.9983,1,0,0.9998
Colletes thoracicus,0.0016,0.405,0.2874,0.9946
Halictus confusus,1,1e-4,0,1
Halictus ligatus,0.9993,0,0.9975,0.6562
Halictus rubicundus,1,0.737,0.0224,0.001
Hylaeus mesillae,1,0.1691,2e-4,0.2765
Hylaeus modestus,0.0557,0.3747,0.6266,0.8664
Lasioglossum coriaceum,1,1,0,0
Lasioglossum leucozonium,1,0.0132,0,0
Megachile campanulae,0.936,0.7626,0.4866,0.0101
Megachile mendica,0.9997,0.9675,0,0.5862
Megachile pugnata,0.6265,9e-4,0.3018,0.9964
Megachile rotundata,0.7701,0,0.945,0.9971
Megachile sculpturalis,0,0.011,1,0.9734
Nomada cressonii,0.6316,1,0,0
Nomada luteoloides,0,1,0,0
Osmia atriventris,0.101,1,0,0
Osmia bucephala,0.6598,1,0,0.0237
Osmia cornifrons,0,1,0.05,4e-4
Osmia lignaria,0.1553,0.9999,0.0395,0.0111
Osmia pumila,0.9254,1,0,0
Ptilothrix bombiformis,1,0.9745,0,0.7741
Xylocopa virginica,0,0,1,1
