Species,Agricultural,Natural,Urban
Agapostemon sericeus,0.9975,0.2005,0.1321
Agapostemon virescens,1,0,0.7847
Andrena carlini,0.0042,1,0
Andrena crataegi,0.6698,0.543,0.2493
Andrena dunningi,0.1583,0.6494,0.406
Andrena hirticincta,0.0079,0.0889,0.9882
Andrena milwaukeensis,0.0023,0.993,0.091
Andrena miserabilis,0.9901,0.9943,0
Andrena nasonii,0.9996,1,0
Andrena nubecula,0.0404,1,1e-4
Andrena pruni,0.0067,1,0
Andrena rugosa,0.4373,1,0
Andrena vicina,1,0.9985,0
Andrena wilkella,0.746,0.9418,0.0131
Anthidium manicatum,0,0,1
Anthidium oblongatum,0.0117,0,1
Augochlora pura,0.9986,1,0
Augochlorella aurata,1,1,0
Augochloropsis metallica,1,1,0
Bombus griseocollis,0,0,1
Bombus impatiens,0,0,1
Bombus ternarius,0,1,0
Bombus vagans,0.0034,0.9999,0.0013
Calliopsis andreniformis,1,1,0
Ceratina calcarata,1,1,0
Ceratina strenua,1,1,0
Colletes thoracicus,0.8111,0.4176,0.2793
Halictus confusus,1,0.9999,0
Halictus ligatus,0,0,1
Halictus rubicundus,0.9705,0.862,0.0093
Hylaeus mesillae,0.9981,0.4468,0.0137
Hylaeus modestus,0.1069,0.3476,0.8144
Lasioglossum coriaceum,0.8585,1,0
Lasioglossum leucozonium,0.1289,0.9404,0.0734
Megachile campanulae,0.6847,0.5446,0.2279
Megachile mendica,1,0.9565,0
Megachile pugnata,0.0328,0.0518,0.979
Megachile rotundata,0.9732,0,0.9999
Megachile sculpturalis,0.0109,0,1
Nomada cressonii,0.0898,1,0
Nomada luteoloides,0,1,0
Osmia atriventris,0.5926,1,0
Osmia bucephala,0.2144,1,0
Osmia cornifrons,0,1,0
Osmia lignaria,0.2133,0.9998,2e-4
Osmia pumila,0.9959,1,0
Ptilothrix bombiformis,1,0.4827,0
Xylocopa virginica,0,0,1
