Species,Agricultural,Natural,Urban,Seminatural
Agapostemon virescens,0,0,0.946,1
Andrena carlini,1,1,0,0
Andrena miserabilis,0,0,0,1
Andrena nasonii,0.034,1,0,0
Andrena pruni,1,0.429,0,0.057
Andrena vicina,0.094,1,0,0
Andrena wilkella,0.999,1,0.009,0
Anthidium oblongatum,0,0,1,1
Augochlora pura,1,0.007,1,0
Augochlorella aurata,0.022,1,0.758,0
Augochloropsis metallica,1,0.159,0.003,0.223
Bombus griseocollis,1,0.995,0.533,0
Bombus ternarius,0,1,0,0
Bombus vagans,0,1,0,0
Calliopsis andreniformis,0.025,0,0.875,1
Ceratina strenua,0,0,1,1
Halictus confusus,0,0,1,1
Halictus rubicundus,1,0.067,0.712,0.004
Lasioglossum coriaceum,0.745,1,0.118,0
Megachile mendica,0.626,1,0.995,0
Megachile rotundata,0.002,0.008,1,0.769
Melissodes bimaculata,1,0,0,0
Nomada cressonii,0,1,0.002,0
Nomada luteoloides,0.983,0,0,1
Osmia atriventris,0.016,1,0,0
Osmia bucephala,0,1,0.09,0.559
Osmia cornifrons,0,1,0,0
Osmia pumila,0,1,0,0
Ptilothrix bombiformis,0.848,0.996,0.965,0
Xylocopa virginica,0.879,1,0.767,0
