Species,Brain.weight,IT,log_brain_weight,log_it,residuals
Agapostemon sericeus,0.8494999999999999,2.25425,-0.16310733787015044,0.8128173233978789,0.0174166863434986
Agapostemon virescens,1.2810000000000001,1.7145,0.2476410229145973,0.5391214929208379,0.9427753815955995
Amegilla quadrifasciata,3.92625,3.848625,1.3676847718707192,1.3477159416518512,0.5424778853648782
Andena vicina,1.334,2.413,0.288181947493432,0.8808707866428946,0.3407500016759008
Andrena angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.29416107055854673
Andrena barbilabris,0.983,2.28,-0.017146158834970514,0.8241754429663494,0.14202202046184825
Andrena bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094,-0.13105198434571966
Andrena carantonica,1.8105,2.775,0.5936030502235589,1.0206507471983979,0.38335302592844933
Andrena carlini,1.558,3.102333333333333,0.4434029474485566,1.1321545165354636,0.0235005074301049
Andrena chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105,0.36445186863426293
Andrena cineraria,1.6334,2.7239999999999998,0.4906637319420382,1.0021013882872658,0.3152907161010761
Andrena cinerea,0.456,1.909,-0.7852624694677509,0.6465795447436106,-0.2921736585517374
Andrena crataegi,0.7983333333333333,1.9685,-0.22522905780523111,0.6772718314016551,0.2101512820860873
Andrena dorsata,0.7176,2.262,-0.33184296823755066,0.8162493776939287,-0.15777198573126675
Andrena dunningi,1.2845,2.555875,0.25036953756780117,0.9383946307810812,0.19477969756458097
Andrena flavipes,1.1796666666666666,2.572111111111111,0.16523191269521662,0.9447270057187496,0.09773576933704065
Andrena fragilis,0.378,1.27,-0.9728610833625494,0.23901690047049992,0.286538081351046
Andrena frigida,0.56,2.143125,-0.579818495252942,0.7622650442350477,-0.30424470267881437
Andrena fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.4859175078341459
Andrena fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.2645131730267331
Andrena fulvida,0.498,2.04,-0.6971552019574841,0.712949807856125,-0.32885756246518866
Andrena gravida,1.59425,2.635,0.46640340621324394,0.9688831819933256,0.35348816410429373
