"","Species","original.trends","source","f.trend","Bartomeus.Estimate","Bartomeus.SE","Brain.weight","IT","residuals","Habitats.used","Pasture.and.Crops","Forests","Urban"
"1","Agapostemon_virescens","increasing","Bartomeus","increasing",0.0052,0.0026,1.281,1.7145,0.646640268314289,"01/12/47",0.66,0.1,0.89
"2","Andrena_carlini","declining","Bartomeus","declining",-0.0047,0.0016,1.558,3.10233333333333,-0.159974425571568,"01/11/38",0.43,0.78,0.01
"3","Andrena_nasonii","stable","Bartomeus","stable",-0.0016,0.002,0.3305,1.27,0.0432040834450163,"01/12/32",0.09,0.99,0.03
"4","Augochlora_pura","increasing","Bartomeus","increasing",0.0057,0.0024,0.586,1.9381,-0.222945713830214,"01/11/34",0.29,0.96,0.21
"5","Augochlorella_aurata","increasing","Bartomeus","increasing",0.0042,0.0021,0.35225,1.444625,-0.0713924153563414,"12/03/19",0.05,0.75,0.5
"6","Bombus_griseocollis","increasing","Bartomeus","increasing",0.0245,0.0031,3.053,4.29683333333333,0.40236477088815,"01/12/28",0.19,0.43,0.82
"7","Calliopsis_andreniformis","increasing","Bartomeus","increasing",0.0073,0.0029,0.365,1.524,-0.120618096629686,"01/12/68",0.76,0.14,1
"8","Ceratina_strenua","increasing","Bartomeus","increasing",0.013,0.0046,0.153,0.889,0.16318735355707,"12/06/19",0.99,0.02,0.73
"9","Halictus_confusus","1.26","Scheper","increasing",0.0041,0.0015,0.4184,1.7855,-0.271396246588483,"12/02/19",0.52,0.6,0.99
"10","Halictus_rubicundus","1.43","Scheper","increasing",-0.0076,0.0019,0.83875,2.313875,-0.263599324923013,"01/11/64",0.78,0.18,0.67
"11","Lasioglossum_coriaceum","stable","Bartomeus","stable",2e-04,0.0022,0.742,1.905,-0.0411013667417388,"01/12/52",0,1,0.02
"12","Megachile_mendica","stable","Bartomeus","stable",-0.0014,0.0027,1.803,2.8575,0.276190457978129,"11/09/19",0.08,0.34,0.81
"13","Melissodes_bimaculata","stable","Bartomeus","stable",-0.0039,0.0037,1.8415,2.57175,0.537802910562169,"01/11/94",1,0,0.84
"14","Osmia_atriventris","declining","Bartomeus","declining",-0.0079,0.0023,0.447,2.032,-0.43526245677909,"01/10/27",0.18,0.98,0
"15","Osmia_bucephala","stable","Bartomeus","stable",0.0016,0.0034,1.421,3.048,-0.254551177077898,"01/11/94",0.29,1,0.11
"16","Osmia_pumila","stable","Bartomeus","stable",0.002,0.003,0.604,1.80975,-0.104730549213725,"01/12/45",0.19,0.97,0.02
"17","Xylocopa_virginica","increasing","Bartomeus","increasing",0.0063,0.0029,5.3,7.84857142857143,-0.123818072033065,"01/11/65",0.28,0.6,0.79
