Species;Estimate;SE;p-value;Sample size;Last year collected;Status
Andrena barbilabris;-0.0095;0.0024;0.0001;121;2010;declining
Andrena bisalicis;-0.0075;0.0029;0.0108;82;2011;declining
Andrena brevipalpis;-0.0074;0.0027;0.0059;99;2011;declining
Andrena canadensis;-0.0067;0.0033;0.0441;65;2010;declining
Andrena carlini;-0.0047;0.0016;0.0038;620;2011;declining
Andrena crataegi;-0.007;0.0018;0.0001;584;2011;declining
Andrena distans;-0.0116;0.0038;0.0025;47;2011;declining
Andrena erigeniae;-0.01;0.0046;0.0287;33;2009;declining
Andrena erythrogaster;-0.0239;0.0038;0;54;2004;declining
Andrena geranii;-0.0115;0.0044;0.0086;36;2002;declining
Andrena integra;-0.0079;0.0032;0.0136;68;2002;declining
Andrena nubecula;-0.0068;0.0029;0.0218;177;2010;declining
Andrena placata;-0.0088;0.0042;0.0373;88;2010;declining
Andrena regularis;-0.0089;0.0037;0.0179;50;2010;declining
Andrena salictaria;-0.01;0.0036;0.0051;55;2005;declining
Andrena sigmundi;-0.0119;0.0036;0.0008;55;2002;declining
Andrena w-scripta;-0.0104;0.0046;0.0239;83;2006;declining
Bombus affinis;-0.0286;0.0146;0.0499;425;2001;declining
Bombus ashtoni;-0.0238;0.0126;0.05;96;1997;declining
Bombus auricomus;-0.0087;0.0044;0.0494;31;2011;declining
Bombus borealis;-0.0394;0.0066;0;47;2001;declining
Bombus fervidus;-0.0051;0.0016;0.0017;472;2011;declining
Bombus pensylvanicus;-0.0306;0.0144;0.0334;235;2006;declining
Bombus ternarius;-0.0142;0.0024;0;255;2011;declining
Bombus terricola;-0.0071;0.0023;0.0025;513;2010;declining
Bombus vagans;-0.0081;0.0013;0;733;2011;declining
Coelioxys modesta;-0.0096;0.0039;0.0147;45;2003;declining
Coelioxys octodentata;-0.0085;0.0036;0.0179;55;2011;declining
Coelioxys rufitarsis;-0.0127;0.0031;0;73;2011;declining
Colletes compactus;-0.0068;0.0034;0.0458;137;2010;declining
Colletes validus;-0.0151;0.0037;0;52;2009;declining
Epeolus scutellaris;-0.0087;0.0035;0.0134;57;2010;declining
Halictus rubicundus;-0.0076;0.0019;0.0001;199;2011;declining
Lasioglossum cinctipes;-0.0108;0.0029;0.0002;83;2011;declining
Lasioglossum heterognathum;-0.0061;0.003;0.0448;77;2011;declining
Lasioglossum imitatum;-0.0095;0.0021;0;326;2011;declining
Lasioglossum leucocomum;-0.0091;0.0032;0.0045;68;2011;declining
Lasioglossum perpunctatum;-0.0112;0.0039;0.0044;45;2003;declining
Lasioglossum pilosum;-0.0064;0.0024;0.0079;221;2011;declining
Lasioglossum truncatum;-0.0228;0.0035;0;64;2002;declining
Macropis ciliata;-0.0188;0.0048;0.0001;32;2008;declining
Macropis nuda;-0.0136;0.0031;0;71;2009;declining
Macropis patellata;-0.0304;0.0054;0;32;1991;declining
Megachile brevis;-0.0093;0.0035;0.0081;137;2011;declining
Megachile frigida;-0.0116;0.0038;0.0023;48;2011;declining
Megachile inermis;-0.0302;0.0053;0;32;2004;declining
Megachile latimanus;-0.023;0.0038;0;188;2011;declining
Megachile melanophaea;-0.0206;0.0072;0.005;52;2011;declining
Megachile relativa;-0.0093;0.0031;0.0023;75;2011;declining
Melissodes druriella;-0.0113;0.0026;0;103;2010;declining
Osmia atriventris;-0.0079;0.0023;0.0005;136;2011;declining
Osmia lignaria;-0.0225;0.0038;0;130;2010;declining
Peponapis pruinosa;-0.0201;0.0035;0;61;2011;declining
Agapostemon splendens;0.0073;0.0044;0.0978;49;2011;stable
Andrena algida;-0.0013;0.0047;0.7794;35;2006;stable
Andrena alleghaniensis;0.0049;0.0032;0.1281;85;2011;stable
Andrena arabis;-0.0032;0.0042;0.4417;154;2003;stable
Andrena asteris;-0.0058;0.0034;0.0906;62;2008;stable
Andrena braccata;0.0002;0.0031;0.9588;80;2010;stable
Andrena bradleyi;-0.0027;0.0028;0.3297;97;2011;stable
Andrena ceanothi;-0.0014;0.0047;0.7577;35;2006;stable
Andrena commoda;-0.0019;0.0034;0.5641;67;2008;stable
Andrena cressonii;-0.0012;0.0021;0.5733;253;2011;stable
Andrena dunningi;-0.0045;0.0029;0.1285;85;2011;stable
Andrena erythronii;-0.003;0.0042;0.469;42;2006;stable
Andrena forbesii;-0.0014;0.0022;0.5191;285;2011;stable
Andrena fragilis;-0.0023;0.0029;0.4244;92;2011;stable
Andrena frigida;-0.0003;0.0031;0.9273;79;2011;stable
Andrena hippotes;0.0024;0.0028;0.3833;229;2011;stable
Andrena hirticincta;-0.0048;0.0028;0.0868;259;2011;stable
Andrena imitatrix;-0.0017;0.0021;0.4244;285;2011;stable
Andrena mandibularis;-0.0039;0.0034;0.2418;65;2010;stable
Andrena melanochroa;-0.0057;0.0041;0.1674;42;2002;stable
Andrena milwaukeensis;-0.0009;0.0036;0.7948;151;2011;stable
Andrena miranda;-0.0056;0.0031;0.0737;74;2011;stable
Andrena miserabilis;-0.0032;0.0018;0.0758;422;2011;stable
Andrena nasonii;-0.0016;0.002;0.4015;532;2011;stable
Andrena nigrihirta;0.0043;0.0051;0.3971;34;2002;stable
Andrena nivalis;-0.0031;0.003;0.3104;156;2010;stable
Andrena perplexa;0.0023;0.0034;0.5003;143;2011;stable
Andrena persimulata;-0.0006;0.0045;0.8941;39;2000;stable
Andrena platyparia;-0.002;0.0038;0.5981;96;2010;stable
Andrena robertsonii;0.0032;0.0033;0.3428;129;2009;stable
Andrena rugosa;0.002;0.0029;0.4894;272;2011;stable
Andrena simplex;-0.0033;0.004;0.4054;47;2010;stable
Andrena spiraeana;0.0031;0.0028;0.2652;106;2011;stable
Andrena thaspii;-0.0002;0.0036;0.9507;132;2011;stable
Andrena vicina;-0.0026;0.0019;0.1734;429;2011;stable
Andrena virginiana;-0.0011;0.0043;0.7965;41;2006;stable
Andrena ziziae;-0.0066;0.0042;0.1104;41;2011;stable
Anthophora terminalis;-0.0006;0.0034;0.8711;67;2011;stable
Bombus sandersoni;-0.0035;0.0034;0.3177;119;2009;stable
Coelioxys sayi;-0.0015;0.0033;0.6588;133;2011;stable
Colletes americanus;0.0036;0.0028;0.1916;110;2010;stable
Colletes inaequalis;-0.003;0.002;0.1319;190;2011;stable
Colletes kincaidii;-0.0064;0.0043;0.1329;39;1976;stable
Colletes simulans;0.0004;0.0027;0.8699;179;2010;stable
Epeolus pusillus;-0.0074;0.0047;0.1143;32;2009;stable
Heriades carinata;0.0013;0.0034;0.7042;69;2011;stable
Hoplitis pilosifrons;0;0.004;0.9982;50;2011;stable
Hoplitis producta;0.0025;0.0034;0.4585;73;2011;stable
Hylaeus affinis;-0.002;0.0035;0.5716;61;2010;stable
Hylaeus mesillae;-0.0029;0.002;0.1468;187;2011;stable
Lasioglossum acuminatum;0.0092;0.0054;0.0854;35;2010;stable
Lasioglossum coeruleum;0.0013;0.0035;0.7098;65;2011;stable
Lasioglossum coriaceum;0.0002;0.0022;0.9262;163;2011;stable
Lasioglossum divergens;0.003;0.005;0.5434;34;2002;stable
Lasioglossum lineatulum;0.0057;0.0041;0.1633;108;2011;stable
Lasioglossum macoupinense;0.0002;0.0036;0.9477;60;2011;stable
Lasioglossum nymphaearum;0.0035;0.0028;0.202;220;2011;stable
Lasioglossum oenotherae;0.0033;0.005;0.5121;34;2011;stable
Lasioglossum smilacinae;-0.0026;0.0039;0.5065;49;2011;stable
Lasioglossum vierecki;-0.0061;0.0044;0.167;37;2011;stable
Lasioglossum zephyrum;-0.0018;0.0023;0.4454;222;2011;stable
Megachile centuncularis;-0.0074;0.0042;0.0767;95;2011;stable
Megachile gemula;0.0026;0.0031;0.4005;89;2011;stable
Megachile mendica;-0.0014;0.0027;0.5918;354;2011;stable
Megachile pugnata;-0.007;0.0042;0.09;41;2011;stable
Megachile texana;-0.0014;0.0056;0.8099;92;2011;stable
Melissodes bimaculata;-0.0039;0.0037;0.2865;118;2011;stable
Melissodes desponsa;0.0026;0.0056;0.6512;90;2010;stable
Nomada articulata;0.0046;0.0029;0.1137;102;2011;stable
Nomada denticulata;0.0038;0.0045;0.3961;42;2011;stable
Nomada illinoensis;-0.0025;0.0049;0.6058;31;2011;stable
Osmia bucephala;0.0016;0.0034;0.6499;69;2011;stable
Osmia pumila;0.002;0.003;0.507;187;2011;stable
Perdita octomaculata;-0.005;0.0049;0.3078;30;2010;stable
Pseudopanurgus andrenoides;0.0075;0.0047;0.1106;43;2009;stable
Sphecodes aroniae;0.0067;0.0051;0.1897;36;2011;stable
Sphecodes confertus;0.0008;0.0033;0.8187;74;2010;stable
Sphecodes dichrous;-0.0038;0.0039;0.3293;49;2011;stable
Sphecodes ranunculi;-0.0033;0.0039;0.4009;49;2007;stable
Agapostemon sericeus;0.0054;0.0024;0.0222;264;2011;increasing
Agapostemon texanus;0.0101;0.0045;0.0263;50;2011;increasing
Agapostemon virescens;0.0052;0.0026;0.048;351;2011;increasing
Andrena carolina;0.0095;0.0033;0.0044;91;2010;increasing
Andrena nuda;0.0174;0.0041;0;81;2011;increasing
Andrena pruni;0.022;0.0039;0;103;2011;increasing
Andrena rufosignata;0.0099;0.0038;0.0088;72;2011;increasing
Andrena tridens;0.0136;0.0056;0.0154;37;2011;increasing
Augochlora pura;0.0057;0.0024;0.02;328;2011;increasing
Augochlorella aurata;0.0042;0.0021;0.0466;536;2011;increasing
Augochloropsis metallica;0.0064;0.0025;0.0086;154;2011;increasing
Bombus bimaculatus;0.009;0.0016;0;503;2011;increasing
Bombus citrinus;0.0148;0.0027;0;293;2011;increasing
Bombus griseocollis;0.0245;0.0031;0;340;2011;increasing
Bombus impatiens;0.0067;0.0013;0;1288;2011;increasing
Bombus perplexus;0.0063;0.0013;0;386;2011;increasing
Calliopsis andreniformis;0.0073;0.0029;0.0117;113;2011;increasing
Ceratina calcarata;0.0194;0.003;0;302;2011;increasing
Ceratina dupla;0.0151;0.0036;0;181;2011;increasing
Ceratina strenua;0.013;0.0046;0.0056;126;2011;increasing
Chelostoma philadelphi;0.0124;0.0058;0.0326;33;2011;increasing
Colletes thoracicus;0.0217;0.0039;0;105;2011;increasing
Halictus confusus;0.0041;0.0015;0.0059;400;2011;increasing
Halictus ligatus;0.0073;0.0017;0;713;2011;increasing
Halictus parallelus;0.1022;0.0253;0.0001;35;2010;increasing
Hylaeus modestus;0.0149;0.0025;0;197;2011;increasing
Lasioglossum anomalum;0.027;0.0079;0.0006;31;2009;increasing
Lasioglossum bruneri;0.0254;0.0054;0;61;2011;increasing
Lasioglossum cressonii;0.006;0.0017;0.0003;330;2011;increasing
Lasioglossum ephialtum;0.0283;0.0048;0;87;2011;increasing
Lasioglossum foxii;0.0118;0.0032;0.0003;104;2011;increasing
Lasioglossum fuscipenne;0.0195;0.0042;0;82;2011;increasing
Lasioglossum mitchelli;0.0088;0.0042;0.0371;56;2011;increasing
Lasioglossum nigroviride;0.0155;0.0045;0.0006;61;2011;increasing
Lasioglossum oblongum;0.0239;0.0052;0;62;2011;increasing
Lasioglossum obscurum;0.0193;0.0059;0.0011;41;2011;increasing
Lasioglossum pectorale;0.007;0.0027;0.0118;192;2011;increasing
Lasioglossum quebecense;0.0133;0.0031;0;123;2011;increasing
Lasioglossum subviridatum;0.0409;0.0143;0.0049;71;2010;increasing
Lasioglossum tegulare;0.014;0.0037;0.0001;88;2011;increasing
Lasioglossum versans;0.0127;0.0038;0.0009;77;2011;increasing
Lasioglossum versatum;0.0488;0.004;0;277;2011;increasing
Lasioglossum weemsi;0.0234;0.0068;0.0006;36;2011;increasing
Megachile campanulae;0.0105;0.004;0.0094;64;2011;increasing
Megachile petulans;0.0289;0.0069;0;44;2010;increasing
Nomada bella;0.0468;0.0095;0;45;2010;increasing
Nomada cressonii;0.0062;0.0026;0.0168;138;2011;increasing
Nomada imbricata;0.0098;0.0044;0.0263;53;2011;increasing
Nomada luteoloides;0.0205;0.0044;0;77;2011;increasing
Nomada maculata;0.0138;0.0052;0.0083;132;2011;increasing
Nomada pygmaea;0.0178;0.0035;0;108;2011;increasing
Sphecodes coronus;0.0109;0.0042;0.0089;61;2010;increasing
Sphecodes davisii;0.0113;0.0044;0.0109;55;2010;increasing
Sphecodes heraclei;0.0304;0.0066;0;51;2010;increasing
Xylocopa virginica;0.0063;0.0029;0.0316;228;2011;increasing
