"","Barren.Land","Cultivated.Crops","Deciduous.Forest","Developed..High.Intensity","Developed..Low.Intensity","Developed..Medium.Intensity","Developed..Open.Space","Emergent.Herbaceous.Wetlands","Evergreen.Forest","Hay.Pasture","Herbaceous","Mixed.Forest","Open.Water","Shrub.Scrub","Woody.Wetlands"
"Agapostemon sericeus",0,0,0,0,0,0,0,0,0,42,0,46,184,0,0
"Andrena crataegi",0,0,0,0,0,0,0,0,0,11,0,5,99,0,0
"Andrena hirticincta",0,0,0,0,0,0,65,0,0,13,0,6,80,0,0
"Andrena milwaukeensis",0,0,0,0,0,0,114,1,0,15,0,18,0,0,0
"Andrena miserabilis",0,0,0,0,0,0,150,0,0,15,0,5,0,0,0
"Andrena nubecula",0,0,0,0,0,0,107,0,0,4,0,15,0,0,0
"Andrena pruni",0,0,0,0,0,0,146,0,0,8,0,1,0,0,0
"Andrena vicina",0,0,0,0,0,0,338,0,0,25,0,19,0,0,0
"Andrena wilkella",0,0,0,0,0,0,283,0,0,52,0,12,0,0,0
"Anthidium manicatum",0,0,0,0,0,0,475,0,0,11,0,193,0,0,0
"Anthidium oblongatum",0,0,0,0,0,0,340,0,0,20,0,18,0,0,0
"Augochloropsis metallica",0,0,0,0,0,0,299,0,0,31,0,15,0,0,0
"Bombus impatiens",0,575,0,374,3917,4096,2316,3,0,1722,400,336,0,324,0
"Bombus ternarius",0,170,0,1527,0,0,0,0,0,0,0,0,0,0,239
"Bombus vagans",100,0,152,41,0,0,0,1,0,7,0,0,0,0,633
"Ceratina calcarata",0,0,1299,0,0,0,0,6,0,40,0,0,0,0,91
"Colletes thoracicus",0,0,107,0,0,0,0,6,0,47,0,0,0,0,0
"Halictus ligatus",0,0,1154,0,0,0,0,111,0,323,0,0,0,0,0
"Hylaeus mesillae",0,0,86,0,0,0,0,23,0,0,0,0,0,0,0
"Hylaeus modestus",0,0,112,0,0,0,0,18,143,101,0,0,0,0,0
"Megachile campanulae",0,0,0,0,0,0,0,16,71,15,0,0,0,0,0
"Megachile rotundata",0,0,0,0,0,0,0,19,192,5,0,0,0,0,0
"Megachile sculpturalis",0,0,0,0,0,0,0,11,210,107,0,29,0,0,0
"Nomada luteoloides",0,0,0,0,0,0,0,10,0,6,0,226,0,0,0
"Osmia cornifrons",0,0,0,0,0,0,0,17,0,10,0,257,0,0,0
"Osmia lignaria",0,0,0,0,0,0,0,15,0,1,0,87,0,0,0
